ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
204848_x_at,4.21e-07,2.81e-09,6.5769993,10.94732,1.17666004,HBG2///HBG1,hemoglobin subunit gamma 2///hemoglobin subunit gamma 1
203324_s_at,4.21e-07,2.82e-09,6.5765884,10.94551,1.79517548,CAV2,caveolin 2
205022_s_at,4.37e-07,2.94e-09,6.5672301,10.90426,1.71298337,FOXN3,forkhead box N3
213451_x_at,4.54e-07,3.07e-09,6.5574233,10.86105,1.38687813,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene)
210375_at,4.59e-07,3.13e-09,6.5535478,10.84398,1.28792121,PTGER3,prostaglandin E receptor 3
216834_at,4.75e-07,3.26e-09,-6.5446921,10.805,-1.56135242,RGS1,regulator of G-protein signaling 1
207275_s_at,5.25e-07,3.65e-09,6.5197899,10.69546,1.1864591,ACSL1,acyl-CoA synthetase long-chain family member 1
206093_x_at,5.36e-07,3.78e-09,6.5123552,10.66279,1.47188532,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene)
214093_s_at,5.36e-07,3.78e-09,-6.512235,10.66226,-1.23547861,FUBP1,far upstream element binding protein 1
202464_s_at,5.44e-07,3.86e-09,6.5077094,10.64238,1.2700885,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
205968_at,5.74e-07,4.1e-09,-6.4945743,10.5847,-1.23860096,KCNS3,potassium voltage-gated channel modifier subfamily S member 3
219298_at,5.97e-07,4.32e-09,6.4827939,10.53301,1.7950651,ECHDC3,enoyl-CoA hydratase domain containing 3
204825_at,5.97e-07,4.34e-09,-6.4818721,10.52896,-1.79371074,MELK,maternal embryonic leucine zipper kinase
204419_x_at,6.16e-07,4.51e-09,6.4735615,10.49252,1.7609463,HBG2///HBG1,hemoglobin subunit gamma 2///hemoglobin subunit gamma 1
212071_s_at,6.35e-07,4.67e-09,6.46565,10.45784,1.14960986,SPTBN1,"spectrin beta, non-erythrocytic 1"
206201_s_at,6.58e-07,4.87e-09,6.4566503,10.4184,2.34394406,MEOX2,mesenchyme homeobox 2
201539_s_at,6.63e-07,4.95e-09,6.453215,10.40336,1.35162535,FHL1,four and a half LIM domains 1
208651_x_at,6.63e-07,4.97e-09,-6.4520748,10.39836,-1.01227059,CD24,CD24 molecule
204653_at,7.3e-07,5.54e-09,-6.4284295,10.29489,-1.08928026,TFAP2A,transcription factor AP-2 alpha
208789_at,8.67e-07,6.62e-09,6.3891763,10.12341,1.60212197,PTRF,polymerase I and transcript release factor
204326_x_at,9.33e-07,7.16e-09,6.371756,10.04744,1.13512281,MT1X,metallothionein 1X
203986_at,1.02e-06,7.89e-09,6.3504523,9.95463,1.44575981,FAM47E-STBD1///FAM47E///STBD1,FAM47E-STBD1 readthrough///family with sequence similarity 47 member E///starch binding domain 1
203400_s_at,1.13e-06,8.8e-09,6.3261078,9.84873,1.68378724,TF,transferrin
218031_s_at,1.16e-06,9.12e-09,6.3182222,9.81445,1.65342566,FOXN3,forkhead box N3
212097_at,1.35e-06,1.07e-08,6.2819688,9.6571,1.55781323,CAV1,caveolin 1
221246_x_at,1.53e-06,1.24e-08,6.2510351,9.52312,1.09174863,TNS1,tensin 1
201719_s_at,1.64e-06,1.34e-08,6.2332889,9.44637,1.26755787,EPB41L2,erythrocyte membrane protein band 4.1 like 2
218625_at,1.64e-06,1.34e-08,6.232733,9.44396,1.1456059,NRN1,neuritin 1
205609_at,1.68e-06,1.38e-08,6.2262709,9.41604,1.08597286,ANGPT1,angiopoietin 1
221295_at,1.71e-06,1.41e-08,6.22101,9.39331,1.16877203,CIDEA,cell death-inducing DFFA-like effector a
213364_s_at,1.78e-06,1.47e-08,6.2116232,9.35278,1.13206075,SNX1,sorting nexin 1
212653_s_at,1.9e-06,1.59e-08,6.1955347,9.28337,1.56486541,EHBP1,EH domain binding protein 1
211699_x_at,1.9e-06,1.59e-08,6.1947503,9.27999,1.9385301,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
212419_at,2.06e-06,1.76e-08,6.1726998,9.18498,1.12997786,ZCCHC24,zinc finger CCHC-type containing 24
202489_s_at,2.12e-06,1.81e-08,-6.1655788,9.15433,-1.37208411,FXYD3,FXYD domain containing ion transport regulator 3
201890_at,2.21e-06,1.9e-08,-6.1545947,9.10707,-1.47364143,RRM2,ribonucleotide reductase regulatory subunit M2
203337_x_at,2.22e-06,1.93e-08,6.1510304,9.09175,1.65617564,ITGB1BP1,integrin subunit beta 1 binding protein 1
203397_s_at,2.22e-06,1.94e-08,-6.1509718,9.0915,-1.54466092,GALNT3,polypeptide N-acetylgalactosaminyltransferase 3
218175_at,2.39e-06,2.09e-08,6.133298,9.01555,1.36431453,CCDC92,coiled-coil domain containing 92
203851_at,2.58e-06,2.28e-08,6.1145074,8.93491,1.35870219,IGFBP6,insulin like growth factor binding protein 6
201242_s_at,2.74e-06,2.46e-08,-6.0976704,8.86273,-1.20637536,ATP1B1,ATPase Na+/K+ transporting subunit beta 1
203358_s_at,2.87e-06,2.59e-08,-6.0856637,8.81131,-1.25790499,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit
209513_s_at,2.96e-06,2.68e-08,6.0779342,8.77823,1.50526669,HSDL2,hydroxysteroid dehydrogenase like 2
212282_at,3.25e-06,2.96e-08,-6.0553858,8.68183,-1.36052769,TMEM97,transmembrane protein 97
205709_s_at,3.33e-06,3.04e-08,-6.0494118,8.65632,-1.20325779,CDS1,CDP-diacylglycerol synthase 1
208607_s_at,3.38e-06,3.11e-08,6.0446958,8.63618,2.19262109,SAA2-SAA4///SAA2///SAA1,SAA2-SAA4 readthrough///serum amyloid A2///serum amyloid A1
201952_at,3.58e-06,3.31e-08,-6.0307221,8.57656,-1.1841597,ALCAM,activated leukocyte cell adhesion molecule
222161_at,3.58e-06,3.34e-08,6.0285633,8.56736,1.43564738,NAALAD2,N-acetylated alpha-linked acidic dipeptidase 2
210869_s_at,3.65e-06,3.42e-08,6.0232747,8.54481,1.36221431,MIR6756///MCAM,microRNA 6756///melanoma cell adhesion molecule
200878_at,3.72e-06,3.5e-08,6.01789,8.52186,1.6177024,EPAS1,endothelial PAS domain protein 1
213605_s_at,3.83e-06,3.63e-08,-6.0099623,8.4881,-1.66473617,,
204018_x_at,3.88e-06,3.69e-08,6.0061367,8.47181,1.75293218,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
219093_at,3.9e-06,3.73e-08,6.0038842,8.46222,1.50434145,PID1,phosphotyrosine interaction domain containing 1
201842_s_at,4.15e-06,3.98e-08,5.988864,8.39832,1.02231498,EFEMP1,EGF containing fibulin like extracellular matrix protein 1
214677_x_at,4.49e-06,4.33e-08,-5.9698104,8.31736,-2.25092443,IGLC1,immunoglobulin lambda constant 1
210299_s_at,4.66e-06,4.54e-08,5.9591835,8.27225,1.74250178,FHL1,four and a half LIM domains 1
202193_at,4.67e-06,4.57e-08,-5.957874,8.26669,-1.32098801,LIMK2,LIM domain kinase 2
213236_at,4.83e-06,4.76e-08,5.9483921,8.22648,1.21865945,SASH1,SAM and SH3 domain containing 1
209173_at,5.1e-06,5.08e-08,-5.9339832,8.16543,-2.5541702,AGR2,"anterior gradient 2, protein disulphide isomerase family member"
210762_s_at,5.66e-06,5.69e-08,5.9080356,8.05564,1.04621967,DLC1,DLC1 Rho GTPase activating protein
213397_x_at,5.92e-06,5.98e-08,5.8970202,8.0091,1.06997345,RNASE4,ribonuclease A family member 4
214705_at,5.94e-06,6.03e-08,-5.8950485,8.00077,-1.7898218,PATJ,"PATJ, crumbs cell polarity complex component"
213765_at,6e-06,6.14e-08,5.8908074,7.98286,1.41400226,MFAP5,microfibrillar associated protein 5
200973_s_at,6.12e-06,6.29e-08,5.885209,7.95923,1.57985738,TSPAN3,tetraspanin 3
210740_s_at,6.24e-06,6.44e-08,5.8798792,7.93675,1.23734275,ITPK1,inositol-tetrakisphosphate 1-kinase
201448_at,6.46e-06,6.73e-08,-5.8700638,7.89536,-1.61362385,TIA1,TIA1 cytotoxic granule-associated RNA binding protein
213309_at,6.7e-06,7.01e-08,5.8607035,7.85592,1.17864019,PLCL2,phospholipase C like 2
201005_at,6.76e-06,7.1e-08,-5.8578108,7.84373,-2.23739737,CD9,CD9 molecule
203680_at,7.14e-06,7.53e-08,5.8445308,7.78784,1.5639556,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta
202982_s_at,7.38e-06,7.85e-08,5.8349428,7.74752,1.88760397,ACOT1///ACOT2,acyl-CoA thioesterase 1///acyl-CoA thioesterase 2
203881_s_at,7.45e-06,7.95e-08,5.831902,7.73474,1.15047252,DMD,dystrophin
206385_s_at,7.68e-06,8.24e-08,-5.823849,7.7009,-1.31095162,ANK3,"ankyrin 3, node of Ranvier (ankyrin G)"
210832_x_at,7.9e-06,8.51e-08,5.8164361,7.66978,1.20690733,PTGER3,prostaglandin E receptor 3
202942_at,7.98e-06,8.63e-08,5.8133382,7.65677,1.66651741,ETFB,electron transfer flavoprotein beta subunit
215039_at,8.6e-06,9.37e-08,5.794401,7.57736,1.25939696,LINC01140,long intergenic non-protein coding RNA 1140
201664_at,8.72e-06,9.54e-08,-5.7902513,7.55997,-1.39288811,SMC4,structural maintenance of chromosomes 4
211922_s_at,8.99e-06,9.89e-08,5.7821278,7.52595,1.49872322,CAT,catalase
213793_s_at,9.22e-06,1.02e-07,-5.7755666,7.49849,-1.43226784,HOMER1,homer scaffolding protein 1
212122_at,9.94e-06,1.11e-07,5.7556048,7.41503,1.42757747,RHOQ,ras homolog family member Q
209604_s_at,1.03e-05,1.16e-07,-5.7457179,7.37374,-1.20877617,GATA3,GATA binding protein 3
211458_s_at,1.05e-05,1.19e-07,5.7393212,7.34705,1.75552743,GABARAPL3///GABARAPL1,GABA type A receptor associated protein like 3 pseudogene///GABA type A receptor associated protein like 1
203296_s_at,1.05e-05,1.2e-07,5.7383177,7.34286,1.37269168,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2
203336_s_at,1.05e-05,1.21e-07,5.7366548,7.33592,1.37454163,ITGB1BP1,integrin subunit beta 1 binding protein 1
201325_s_at,1.19e-05,1.37e-07,5.7067613,7.21138,1.36509281,EMP1,epithelial membrane protein 1
208029_s_at,1.23e-05,1.43e-07,-5.6981192,7.17543,-1.45754896,LAPTM4B,lysosomal protein transmembrane 4 beta
212230_at,1.29e-05,1.51e-07,5.684532,7.11896,1.16693487,PLPP3,phospholipid phosphatase 3
205208_at,1.33e-05,1.58e-07,5.6750585,7.07963,1.51705926,ALDH1L1,aldehyde dehydrogenase 1 family member L1
218009_s_at,1.34e-05,1.58e-07,-5.674011,7.07528,-1.62921955,PRC1,protein regulator of cytokinesis 1
213502_x_at,1.53e-05,1.84e-07,-5.639517,6.93234,-1.78108112,GUSBP11,"glucuronidase, beta pseudogene 11"
220327_at,1.55e-05,1.88e-07,5.6341237,6.91002,1.11447318,VGLL3,vestigial like family member 3
37892_at,1.55e-05,1.88e-07,-5.6337308,6.9084,-1.98587285,COL11A1,collagen type XI alpha 1 chain
209894_at,1.61e-05,1.97e-07,5.623826,6.86745,1.35705159,LEPROT///LEPR,leptin receptor overlapping transcript///leptin receptor
209086_x_at,1.62e-05,1.99e-07,5.6212817,6.85694,1.04642917,MIR6756///MCAM,microRNA 6756///melanoma cell adhesion molecule
202862_at,1.65e-05,2.03e-07,5.6158655,6.83456,1.02776722,FAH,fumarylacetoacetate hydrolase
